god;;
light;dark,psychic,dimension;light,grass,elder,spirit
electricity;water,dark,flying;electricity,rock,sand,grass
machine;ice,dimension,fighting;sand,ghost
rock;electricity,fire;bug,wind,flying
sand;fire;sand,wind,flying
ice;rock,grass,flying,dragon,fire;ice,water,fighting,elder
water;sand,fire,elder;electricity,water,grass,dimension
grass;light,sand,water;machine,ice,grass,dimension,fire
bug;machine,grass,bug,elder;ice,water
ghost;electricity,ghost,spirit;sand,dark,psychic
dark;dark,psychic,elder;light,electricity,rock,ghost
psychic;electricity,ghost,fighting;light,dark,psychic
dimension;light,machine,dimension;water,grass,fire,spirit
wind;rock,sand;machine,grass,wind,fire
flying;grass,bug,fighting;electricity,sand,ice,dragon
dragon;ice,dragon,fighting,spirit;bug,flying,fire
fire;ice,grass,bug,wind;dimension,dragon,elder
fighting;machine,ice,dragon,spirit;grass,dark,psychic
elder;bug,ghost,psychic,dragon;rock,dark,fighting
spirit;ice,water,grass,fire,elder;ghost,dimension,dragon,fighting,spirit
