god;;
light;light,dark,psychic;grass,dimension
electricity;electricity,water,dark,flying;rock,ghost,psychic
machine;grass,wind;bug,dimension,fighting
rock;electricity,dark,elder;ice,wind
sand;electricity,machine,sand,ghost,flying;water,grass,wind
ice;ice,grass,bug,flying;machine,dragon,fire,fighting,spirit
water;ice,water,bug,dimension;electricity,grass,spirit
grass;light,electricity,water,grass,dimension,wind,fighting;ice,bug,flying,fire,spirit
bug;rock,dragon;bug,flying,fire,elder
ghost;machine,dark,spirit;ghost,psychic,elder
dark;ghost,psychic,fighting,elder;light,electricity,dark
psychic;ghost,psychic,fighting;light,dark,elder
dimension;water,grass,fire,spirit;light,machine,dimension
wind;rock,sand,wind;fire
flying;rock,sand,dragon;electricity,ice
dragon;flying,fire,spirit;ice,dragon,fighting,elder
fire;grass,dimension,wind,dragon;rock,sand,ice,water,spirit
fighting;ice,elder,spirit;machine,psychic,flying,dragon
elder;light,ice,fire;water,bug,dark,spirit
spirit;light,dimension,spirit;ghost,dragon,fighting
